,pickup_date,weekday,total_amount,row_count
0,2022-01-01,Sábado,25128.72,1273
1,2022-01-02,Domingo,26851.77,1500
2,2022-01-03,Lunes,38778.99,2332
3,2022-01-04,Martes,38390.1,2165
4,2022-01-05,Miércoles,39222.21,2259
5,2022-01-06,Jueves,40544.07,2352
6,2022-01-07,Viernes,30888.03,1832
7,2022-01-08,Sábado,33259.46,1927
8,2022-01-09,Domingo,24154.97,1412
9,2022-01-10,Lunes,36332.11,2145
10,2022-01-11,Martes,38212.61,2257
11,2022-01-12,Miércoles,37702.98,2147
12,2022-01-13,Jueves,41163.39,2274
13,2022-01-14,Viernes,44205.81,2457
14,2022-01-15,Sábado,34159.35,1910
15,2022-01-16,Domingo,27997.74,1613
16,2022-01-17,Lunes,25994.12,1548
17,2022-01-18,Martes,36773.340000000004,2191
18,2022-01-19,Miércoles,40436.43,2359
19,2022-01-20,Jueves,40688.96,2351
20,2022-01-21,Viernes,44135.98,2538
21,2022-01-22,Sábado,33627.17,1972
22,2022-01-23,Domingo,29135.35,1628
23,2022-01-24,Lunes,39446.3,2269
24,2022-01-25,Martes,39682.29,2279
25,2022-01-26,Miércoles,41813.36,2372
26,2022-01-27,Jueves,46429.15,2568
27,2022-01-28,Viernes,44098.29,2446
28,2022-01-29,Sábado,7314.46,385
29,2022-01-30,Domingo,24917.53,1461
30,2022-01-31,Lunes,41727.55,2289
31,2022-02-01,Martes,43268.19,2399
32,2022-02-02,Miércoles,46196.62,2536
33,2022-02-03,Jueves,48279.17,2683
34,2022-02-04,Viernes,48745.06,2802
35,2022-02-05,Sábado,48153.71,2722
36,2022-02-06,Domingo,30784.0,1747
37,2022-02-07,Lunes,41580.37,2399
38,2022-02-08,Martes,42744.840000000004,2427
39,2022-02-09,Miércoles,43810.28,2509
40,2022-02-10,Jueves,46677.090000000004,2637
41,2022-02-11,Viernes,50819.68,2787
42,2022-02-12,Sábado,45714.73,2512
43,2022-02-13,Domingo,31998.66,1764
44,2022-02-14,Lunes,48454.31,2776
45,2022-02-15,Martes,43965.5,2551
46,2022-02-16,Miércoles,46584.97,2625
47,2022-02-17,Jueves,50586.9,2871
48,2022-02-18,Viernes,53519.23,2923
49,2022-02-19,Sábado,42491.0,2358
50,2022-02-20,Domingo,34955.81,1888
51,2022-02-21,Lunes,36062.38,2021
52,2022-02-22,Martes,42963.22,2453
53,2022-02-23,Miércoles,48305.57,2750
54,2022-02-24,Jueves,47768.14,2732
55,2022-02-25,Viernes,46473.14,2598
56,2022-02-26,Sábado,43848.74,2425
57,2022-02-27,Domingo,36463.93,1991
58,2022-02-28,Lunes,43441.15,2513
59,2022-03-01,Martes,44926.32,2589
60,2022-03-02,Miércoles,46209.45,2594
61,2022-03-03,Jueves,50484.79,2796
62,2022-03-04,Viernes,49352.74,2750
